192.168.30.174
78.1|K Star|219000000|781|23|8vsb|69|50|77
79.1|스카이엔터|381000000|791|50|8vsb|81|100|100
80.1|JTBC2|363000000|801|47|8vsb|82|100|100
81.1|OtvN|195000000|135|10|8vsb|63|55|100
83.1|AXN|195000000|196|10|8vsb|63|55|100
84.1|FTV|195000000|344|10|8vsb|63|55|100
88.1|복지TV|255000000|881|29|8vsb|71|94|100
93.1|KTV|219000000|931|23|8vsb|69|50|77
94.1|OUN|309000000|941|38|8vsb|78|70|100
95.1|국회방송|309000000|951|38|8vsb|78|70|100
